time,open,high,low,close,volume
2026-05-01 00:00:00+00:00,65000.00,65023.26,64948.22,65000.05,90.12
2026-05-01 00:01:00+00:00,65000.05,65059.82,64939.18,65011.70,71.55
2026-05-01 00:02:00+00:00,65011.70,65082.62,64948.09,65001.01,28.73
2026-05-01 00:03:00+00:00,65001.01,65065.99,64920.43,64966.29,32.22
2026-05-01 00:04:00+00:00,64966.29,65010.77,64871.12,64948.58,63.98
2026-05-01 00:05:00+00:00,64948.58,64984.27,64854.89,64909.96,93.75
2026-05-01 00:06:00+00:00,64909.96,64940.35,64883.91,64912.32,24.48
2026-05-01 00:07:00+00:00,64912.32,65024.04,64849.50,64964.55,71.70
2026-05-01 00:08:00+00:00,64964.55,64984.31,64920.16,64945.38,62.57
2026-05-01 00:09:00+00:00,64945.38,64989.13,64857.51,64921.22,52.06
2026-05-01 00:10:00+00:00,64921.22,64983.63,64840.91,64940.31,26.91
2026-05-01 00:11:00+00:00,64940.31,65012.74,64925.04,64954.23,93.85
2026-05-01 00:12:00+00:00,64954.23,65032.78,64929.47,64958.35,4.46
2026-05-01 00:13:00+00:00,64958.35,65028.48,64869.99,64922.11,46.96
2026-05-01 00:14:00+00:00,64922.11,64937.12,64899.90,64920.98,13.46
2026-05-01 00:15:00+00:00,64920.98,65017.70,64879.83,64948.08,77.46
2026-05-01 00:16:00+00:00,64948.08,65066.70,64785.21,64895.74,77.62
2026-05-01 00:17:00+00:00,64895.74,64915.22,64840.33,64877.95,49.98
2026-05-01 00:18:00+00:00,64877.95,64936.96,64769.38,64804.03,39.28
2026-05-01 00:19:00+00:00,64804.03,64831.76,64666.48,64753.95,22.87
2026-05-01 00:20:00+00:00,64753.95,64817.42,64547.73,64682.50,65.73
2026-05-01 00:21:00+00:00,64682.50,64707.71,64646.95,64673.44,56.76
2026-05-01 00:22:00+00:00,64673.44,64738.90,64540.99,64624.36,14.95
2026-05-01 00:23:00+00:00,64624.36,64669.79,64612.34,64634.95,50.62
2026-05-01 00:24:00+00:00,64634.95,64673.00,64616.20,64641.10,17.28
2026-05-01 00:25:00+00:00,64641.10,64662.44,64620.53,64633.92,77.77
2026-05-01 00:26:00+00:00,64633.92,64699.63,64398.85,64536.49,76.88
2026-05-01 00:27:00+00:00,64536.49,64567.35,64492.92,64515.73,2.61
2026-05-01 00:28:00+00:00,64515.73,64539.75,64473.55,64513.95,3.52
2026-05-01 00:29:00+00:00,64513.95,64542.87,64436.93,64518.43,93.76
2026-05-01 00:30:00+00:00,64518.43,64584.44,64357.33,64459.33,48.80
2026-05-01 00:31:00+00:00,64459.33,64521.22,64417.84,64440.97,57.26
2026-05-01 00:32:00+00:00,64440.97,64487.90,64309.35,64403.27,97.26
2026-05-01 00:33:00+00:00,64403.27,64444.09,64292.48,64372.14,16.92
2026-05-01 00:34:00+00:00,64372.14,64460.34,64294.42,64413.25,21.75
2026-05-01 00:35:00+00:00,64413.25,64500.29,64316.08,64382.17,87.24
2026-05-01 00:36:00+00:00,64382.17,64395.10,64346.28,64381.04,79.70
2026-05-01 00:37:00+00:00,64381.04,64491.67,64277.47,64415.33,73.68
2026-05-01 00:38:00+00:00,64415.33,64519.41,64351.61,64392.90,33.35
2026-05-01 00:39:00+00:00,64392.90,64443.94,64369.79,64388.70,77.15
2026-05-01 00:40:00+00:00,64388.70,64423.01,64357.60,64393.09,1.44
2026-05-01 00:41:00+00:00,64393.09,64412.11,64370.95,64395.68,74.07
2026-05-01 00:42:00+00:00,64395.68,64523.34,64212.04,64348.49,69.94
2026-05-01 00:43:00+00:00,64348.49,64394.35,64322.73,64351.56,46.80
2026-05-01 00:44:00+00:00,64351.56,64463.40,64298.32,64404.17,74.63
2026-05-01 00:45:00+00:00,64404.17,64496.36,64278.72,64344.54,38.49
2026-05-01 00:46:00+00:00,64344.54,64402.27,64304.29,64377.85,54.80
2026-05-01 00:47:00+00:00,64377.85,64403.35,64338.08,64382.59,39.21
2026-05-01 00:48:00+00:00,64382.59,64412.57,64327.08,64357.94,84.03
2026-05-01 00:49:00+00:00,64357.94,64526.33,64242.73,64435.35,88.16
2026-05-01 00:50:00+00:00,64435.35,64509.63,64390.96,64464.93,84.49
2026-05-01 00:51:00+00:00,64464.93,64519.24,64394.51,64418.68,41.92
2026-05-01 00:52:00+00:00,64418.68,64501.99,64351.66,64421.67,18.13
2026-05-01 00:53:00+00:00,64421.67,64508.09,64353.66,64444.08,64.82
2026-05-01 00:54:00+00:00,64444.08,64478.67,64403.61,64436.89,6.13
2026-05-01 00:55:00+00:00,64436.89,64538.57,64410.70,64463.41,80.74
2026-05-01 00:56:00+00:00,64463.41,64501.39,64402.43,64460.94,67.89
2026-05-01 00:57:00+00:00,64460.94,64518.38,64420.39,64486.86,84.05
2026-05-01 00:58:00+00:00,64486.86,64626.83,64394.53,64542.63,44.33
2026-05-01 00:59:00+00:00,64542.63,64555.58,64471.40,64516.57,86.25
2026-05-01 01:00:00+00:00,64516.57,64544.24,64494.77,64524.53,63.12
2026-05-01 01:01:00+00:00,64524.53,64553.31,64435.73,64506.69,36.06
2026-05-01 01:02:00+00:00,64506.69,64611.91,64456.83,64511.71,95.25
2026-05-01 01:03:00+00:00,64511.71,64556.40,64412.28,64465.89,85.14
2026-05-01 01:04:00+00:00,64465.89,64527.40,64377.69,64443.59,15.80
2026-05-01 01:05:00+00:00,64443.59,64472.60,64418.23,64436.12,71.07
2026-05-01 01:06:00+00:00,64436.12,64508.88,64394.94,64470.98,75.17
2026-05-01 01:07:00+00:00,64470.98,64602.82,64442.63,64515.40,26.49
2026-05-01 01:08:00+00:00,64515.40,64607.69,64417.84,64464.29,12.00
2026-05-01 01:09:00+00:00,64464.29,64520.41,64370.23,64433.68,70.40
2026-05-01 01:10:00+00:00,64433.68,64506.01,64411.37,64458.80,29.70
2026-05-01 01:11:00+00:00,64458.80,64557.29,64278.23,64381.91,38.32
2026-05-01 01:12:00+00:00,64381.91,64411.78,64343.54,64364.15,15.37
2026-05-01 01:13:00+00:00,64364.15,64384.98,64344.50,64360.52,28.13
2026-05-01 01:14:00+00:00,64360.52,64477.14,64314.52,64409.20,23.61
2026-05-01 01:15:00+00:00,64409.20,64496.27,64394.66,64435.96,35.80
2026-05-01 01:16:00+00:00,64435.96,64480.48,64386.33,64423.42,24.18
2026-05-01 01:17:00+00:00,64423.42,64459.27,64374.03,64409.30,97.47
2026-05-01 01:18:00+00:00,64409.30,64439.66,64369.57,64399.75,93.67
2026-05-01 01:19:00+00:00,64399.75,64533.11,64326.56,64458.75,71.81
2026-05-01 01:20:00+00:00,64458.75,64536.13,64353.77,64442.31,69.73
2026-05-01 01:21:00+00:00,64442.31,64523.67,64402.95,64430.68,43.10
2026-05-01 01:22:00+00:00,64430.68,64506.07,64392.32,64444.43,80.10
2026-05-01 01:23:00+00:00,64444.43,64480.28,64403.62,64439.87,74.91
2026-05-01 01:24:00+00:00,64439.87,64451.44,64410.18,64432.36,46.00
2026-05-01 01:25:00+00:00,64432.36,64519.47,64337.93,64389.42,54.79
2026-05-01 01:26:00+00:00,64389.42,64482.00,64299.25,64389.10,72.38
2026-05-01 01:27:00+00:00,64389.10,64402.81,64337.97,64372.09,35.96
2026-05-01 01:28:00+00:00,64372.09,64485.77,64295.43,64417.26,85.14
2026-05-01 01:29:00+00:00,64417.26,64474.54,64379.44,64442.62,82.12
2026-05-01 01:30:00+00:00,64442.62,64521.87,64395.71,64441.80,54.80
2026-05-01 01:31:00+00:00,64441.80,64515.33,64389.80,64467.76,17.02
2026-05-01 01:32:00+00:00,64467.76,64509.56,64406.06,64454.72,27.20
